"step","stage_type","added_variable","auc"
3,"selected","triglycerides",0.814053815284551
3,"selected","triglycerides",0.814052709239228
3,"selected","triglycerides",0.813982169712127
3,"selected","triglycerides",0.814025464845398
3,"selected","triglycerides",0.814029658303258
3,"selected","triglycerides",0.814019221041155
3,"selected","triglycerides",0.813991600829775
3,"selected","triglycerides",0.813969810547614
3,"selected","triglycerides",0.813910659719453
3,"selected","triglycerides",0.813993827191973
3,"selected","triglycerides",0.813872133663327
3,"selected","triglycerides",0.813979798255811
3,"selected","triglycerides",0.81401222560181
3,"selected","triglycerides",0.813987516787152
3,"selected","triglycerides",0.814009716187153
3,"selected","triglycerides",0.81397371619583
3,"selected","triglycerides",0.813929595691102
3,"selected","triglycerides",0.813994859500942
3,"selected","triglycerides",0.813960231957256
3,"selected","triglycerides",0.813966176058896
3,"selected","triglycerides",0.813845181836325
3,"selected","triglycerides",0.813906784992933
3,"selected","triglycerides",0.814039336794483
3,"selected","triglycerides",0.813995913217239
3,"selected","triglycerides",0.813988116192359
3,"selected","triglycerides",0.813988123328135
3,"selected","triglycerides",0.813963017288597
3,"selected","triglycerides",0.814030003199111
3,"selected","triglycerides",0.813947273387535
3,"selected","triglycerides",0.813947777649059
3,"selected","triglycerides",0.813942716005086
3,"selected","triglycerides",0.814023845024183
3,"selected","triglycerides",0.813945384785414
3,"selected","triglycerides",0.814002739776545
3,"selected","triglycerides",0.813985302317913
3,"selected","triglycerides",0.813967695979243
3,"selected","triglycerides",0.814021097750316
3,"selected","triglycerides",0.81394067517307
3,"selected","triglycerides",0.814060722715988
3,"selected","triglycerides",0.813995049788309
3,"selected","triglycerides",0.814056650566326
3,"selected","triglycerides",0.813969137406051
3,"selected","triglycerides",0.814009915988888
3,"selected","triglycerides",0.814032091602969
3,"selected","triglycerides",0.81395550807336
3,"selected","triglycerides",0.813891802241342
3,"selected","triglycerides",0.814033597251763
3,"selected","triglycerides",0.813955957627266
3,"selected","triglycerides",0.813971254353014
3,"selected","triglycerides",0.813964672788693
3,"selected","triglycerides",0.814015912419554
3,"selected","triglycerides",0.813909558431314
3,"selected","triglycerides",0.814015484272977
3,"selected","triglycerides",0.813988408759186
3,"selected","triglycerides",0.813990578035175
3,"selected","triglycerides",0.814016228772303
3,"selected","triglycerides",0.813979700733535
3,"selected","triglycerides",0.813942085678181
3,"selected","triglycerides",0.813959389935656
3,"selected","triglycerides",0.813967648407401
3,"selected","triglycerides",0.813998831749737
3,"selected","triglycerides",0.814005741559766
3,"selected","triglycerides",0.813986210940093
3,"selected","triglycerides",0.813931244055423
3,"selected","triglycerides",0.813985054944336
3,"selected","triglycerides",0.813921824830736
3,"selected","triglycerides",0.814038720739131
3,"selected","triglycerides",0.814102126868546
3,"selected","triglycerides",0.81392157983575
3,"selected","triglycerides",0.813929438704024
3,"selected","triglycerides",0.813960878934305
3,"selected","triglycerides",0.814028038482043
3,"selected","triglycerides",0.81404095899429
3,"selected","triglycerides",0.813965576653689
3,"selected","triglycerides",0.813957751085704
3,"selected","triglycerides",0.813946205399686
4,"selected","employment",0.81384347162861
4,"selected","employment",0.813844320785987
4,"selected","employment",0.813911161602384
4,"selected","employment",0.813933682112318
4,"selected","employment",0.813866903139315
4,"selected","employment",0.813789579867566
4,"selected","employment",0.813922976069308
4,"selected","employment",0.81381266886101
4,"selected","employment",0.813899734845971
4,"selected","employment",0.813954228390814
4,"selected","employment",0.813930363976348
4,"selected","employment",0.8138907318749
4,"selected","employment",0.813870380640955
4,"selected","employment",0.813696058383666
4,"selected","employment",0.81398983353585
4,"selected","employment",0.813878044464677
4,"selected","employment",0.813882842084928
4,"selected","employment",0.813908606994477
4,"selected","employment",0.813997292800653
4,"selected","employment",0.813855699970559
4,"selected","employment",0.813918359222057
4,"selected","employment",0.813958742958606
4,"selected","employment",0.813954009560342
4,"selected","employment",0.813799034771135
4,"selected","employment",0.813938979236908
4,"selected","employment",0.813968183590622
4,"selected","employment",0.813945479929097
4,"selected","employment",0.813929545740668
4,"selected","employment",0.813820277977114
4,"selected","employment",0.813883995702093
4,"selected","employment",0.813876507894186
4,"selected","employment",0.813930834937583
4,"selected","employment",0.81393873186333
4,"selected","employment",0.814008279517529
4,"selected","employment",0.814003510440383
4,"selected","employment",0.813894009574804
4,"selected","employment",0.813977246026495
4,"selected","employment",0.813915502532953
4,"selected","employment",0.813823025250981
4,"selected","employment",0.814028442842698
4,"selected","employment",0.813844591945486
4,"selected","employment",0.813889123946645
4,"selected","employment",0.813962765157835
4,"selected","employment",0.813798066684153
4,"selected","employment",0.813945841475096
4,"selected","employment",0.813828481741242
4,"selected","employment",0.813872702146837
4,"selected","employment",0.813839882333142
4,"selected","employment",0.814028459492843
4,"selected","employment",0.813857158047512
4,"selected","employment",0.814013719357645
4,"selected","employment",0.813940346927361
4,"selected","employment",0.813750580471614
4,"selected","employment",0.813992383386573
4,"selected","employment",0.813843702352043
4,"selected","employment",0.813742110305172
4,"selected","employment",0.814027898145109
4,"selected","employment",0.813991672187538
4,"selected","employment",0.813895320179047
4,"selected","employment",0.813813812963806
4,"selected","employment",0.813944671207786
4,"selected","employment",0.813816289078175
4,"selected","employment",0.813882021470656
4,"selected","employment",0.813871527122344
4,"selected","employment",0.813766345780005
4,"selected","employment",0.813853495015689
4,"selected","employment",0.813963990132763
4,"selected","employment",0.813868189957637
4,"selected","employment",0.813920492819164
4,"selected","employment",0.813945365756677
4,"selected","employment",0.813755159261393
4,"selected","employment",0.813870042880878
4,"selected","employment",0.81386462444809
4,"selected","employment",0.81393538994144
4,"selected","employment",0.813875130689364
4,"selected","employment",0.813992438094191
4,"selected","employment",0.813956278737198
4,"selected","employment",0.813862845261205
