"household_income18-31k","household_income31-52k","household_income52-100k","household_income>100k","highest_qualificationCSEs","highest_qualificationO-levels/GCSEs","highest_qualificationProfessional (nursing/teaching)","highest_qualificationVocational (NVQ/HND/HNC)","highest_qualificationA-levels","highest_qualificationUniversity degree","employmentRetired","employmentOther economically inactive","employmentUnemployed","employmentUnable to work","housingRenter","housingOther","household_size2 people","household_size3-5 people","household_size6+ people","diet_score","alcohol_consumptionFormer drinker","alcohol_consumptionSocial drinker","alcohol_consumptionModerate drinker","alcohol_consumptionDaily drinker","salt_addedSometimes","salt_addedUsually","salt_addedAlways","sleep_hrs","insomniaSometimes","insomniaUsually","smoking_status_refinedFormer_Recent","smoking_status_refinedFormer_Long","smoking_status_refinedCurrent","pack_yrs","passive_total_hrs","met_min_week_all","mh_sought_helpYes","work_job_satisfaction_num","neuroticism_score","breastfedYes","comparative_body_size_10About average","comparative_body_size_10Plumper","maternal_smoking_birthYes","birth_weight","no2_2010","pm2.5_2010","pm10_2010","urban_rural_3lvlTown","urban_rural_3lvlRural"
0.95,0.99,0.99,0.93,0.9,0.99,0.97,0.84,0.81,0.53,0.9,0.84,0.89,0.93,0.97,0.94,0.93,1,0.99,0.95,0.95,0.88,0.88,0.89,0.97,0.94,0.93,0.97,0.94,0.93,0.98,0.93,0.87,0.92,0.94,0.95,0.94,0.96,0.95,0.99,0.91,0.85,0.93,0.96,0.96,1,0.99,0.97,0.97
0.96,0.99,0.99,0.94,0.91,0.99,0.97,0.84,0.82,0.54,0.93,0.84,0.89,0.93,0.97,0.94,0.93,1,0.99,0.95,0.95,0.89,0.88,0.89,0.97,0.94,0.93,0.97,0.94,0.93,0.98,0.94,0.89,0.92,0.94,0.95,0.94,0.96,0.95,0.99,0.92,0.89,0.95,0.96,0.96,1,0.99,0.97,0.97
0.96,0.99,0.99,0.95,0.91,0.99,0.97,0.84,0.83,0.55,0.93,0.86,0.9,0.94,0.98,0.96,0.95,1,0.99,0.96,0.96,0.9,0.9,0.9,0.98,0.95,0.93,0.97,0.94,0.93,0.99,0.94,0.9,0.92,0.94,0.95,0.94,0.96,0.95,0.99,0.92,0.89,0.96,0.96,0.96,1,0.99,0.97,0.98
0.96,0.99,0.99,0.95,0.91,0.99,0.98,0.85,0.84,0.57,0.94,0.87,0.9,0.94,0.99,0.96,0.95,1,0.99,0.96,0.96,0.9,0.91,0.9,0.98,0.95,0.93,0.97,0.94,0.93,0.99,0.94,0.9,0.94,0.95,0.95,0.94,0.97,0.95,0.99,0.93,0.9,0.97,0.96,0.96,1,0.99,0.98,0.98
0.96,0.99,0.99,0.95,0.91,0.99,0.98,0.85,0.85,0.59,0.94,0.88,0.92,0.96,0.99,0.96,0.94,1,1,0.96,0.97,0.91,0.94,0.89,0.98,0.95,0.93,0.97,0.95,0.93,0.99,0.95,0.91,0.94,0.95,0.96,0.95,0.97,0.97,0.99,0.93,0.9,0.97,0.96,0.96,1,0.99,0.98,0.98
0.97,1,0.99,0.96,0.92,0.99,0.98,0.86,0.85,0.61,0.95,0.88,0.92,0.96,1,0.97,0.95,1,1,0.96,0.99,0.93,0.93,0.89,0.99,0.95,0.93,0.97,0.97,0.93,0.99,0.95,0.91,0.94,0.95,0.96,0.95,0.97,0.97,0.99,0.94,0.9,0.97,0.96,0.97,1,0.99,0.98,0.99
0.97,1,0.99,0.96,0.92,0.99,0.99,0.85,0.84,0.62,0.96,0.89,0.95,0.96,1,0.97,0.97,1,1,0.96,0.99,0.92,0.94,0.9,0.99,0.95,0.94,0.97,0.97,0.93,0.99,0.96,0.92,0.94,0.95,0.96,0.95,0.98,0.97,0.99,0.95,0.94,0.97,0.96,0.97,1,0.99,0.99,0.99
0.97,1,0.99,0.96,0.92,0.99,0.99,0.86,0.86,0.67,0.96,0.92,0.95,0.96,1,0.98,0.97,1,1,0.97,0.99,0.92,0.94,0.91,0.99,0.95,0.94,0.97,0.97,0.93,1,0.96,0.93,0.94,0.95,0.96,0.95,0.98,0.98,0.99,0.95,0.95,0.97,0.98,0.97,1,0.99,0.99,0.99
0.97,1,0.99,0.97,0.92,0.99,0.99,0.89,0.88,0.67,0.97,0.93,0.96,0.96,1,0.98,0.98,1,1,0.97,1,0.93,0.96,0.92,0.99,0.95,0.96,0.97,0.98,0.94,1,0.96,0.93,0.94,0.95,0.97,0.95,0.98,0.99,0.99,0.95,0.96,0.97,0.98,0.98,1,0.99,0.99,0.99
0.97,1,0.99,0.97,0.93,0.99,0.98,0.9,0.91,0.72,0.97,0.93,0.95,0.96,1,0.99,0.98,1,1,0.97,1,0.94,0.97,0.93,0.99,0.95,0.96,0.98,0.98,0.94,1,0.98,0.93,0.94,0.96,0.97,0.95,0.98,0.99,0.99,0.95,0.96,0.97,1,0.98,1,0.99,0.99,0.99
